Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN
2021/01/19 16:00:00,127.35,15.97,165.93,127.83,112.18,103.5,336.3,112.57,255.84,456.5,160.54,53.1,161.98,310.97,72.99,80.71,28.06,47.05,42.25,142.98,117.4,110.01,185.25,557.41
2021/01/20 16:00:00,128.11,16.17,165.18,132.03,112.62,103.79,347.87,112.89,261.67,469.73,159.83,53.5,162.35,308.58,72.54,80.75,28.02,47.06,42.08,142.01,119.47,109.36,180.19,564.37
2021/01/21 16:00:00,127,15.83,166.68,136.87,111.26,104.91,348.56,112.95,257.94,472.02,159.29,52.79,161.03,306.46,71.74,80.97,27.28,46.32,41.05,137.71,119.09,109.95,176.41,543.81
2021/01/22 16:00:00,126.33,15.82,163.76,139.07,110.86,107.76,347.9,112.84,254.77,472.44,155.58,52.82,161.98,299.17,72.88,82.08,27.1,46.43,40.08,134.9,117.84,109.06,173.71,534.08
2021/01/25 16:00:00,125.48,15.43,159.66,142.92,110.5,106.87,348.32,114.72,252.04,473.44,153.72,53.09,163.68,293.64,75.08,82.59,26.23,46.57,39.58,132.73,118.29,111.33,176.92,539.47
2021/01/26 16:00:00,123.92,15.53,157.63,143.16,108.8,108.84,340.89,114.73,252.99,476.28,154.94,52.18,164.53,291.75,75.21,81.82,24.56,46.43,39.11,130.47,117.41,117,175.38,535.1
2021/01/27 16:00:00,118.8,16.56,147.93,142.06,102.79,106.84,328.6,114.29,246.1,460,147.48,49.58,165.67,273.47,75.09,80.44,22.96,45.15,37.6,130.79,113.11,120.44,168.85,509.64
2021/01/28 16:00:00,121.56,18.1,153.34,137.09,104.21,106.9,355.13,120.39,249.34,465.67,149.21,51.01,166.75,284.22,73.91,80.56,24.55,46.12,38.48,133.5,115.51,112.78,166.37,536.58
2021/01/29 16:00:00,120.17,17.17,149.14,131.96,102.48,104.2,348.25,123.59,241.92,458.77,147.33,50.01,165.12,277.43,72.72,80.91,24.39,45.18,37.44,135.47,115.41,111.03,162.66,525.38
2021/02/01 16:00:00,120.83,16.84,150.97,134.14,102.3,106.89,341.86,122.54,247.57,470,151.88,50.48,166.35,286.32,72.84,81.18,24.81,45.61,37.42,134.49,115.19,111.65,166.37,543.05